year,location,sqft,amenities,real_estate_type,crime_rates,area,Population,GDP (in crores),Fixed Deposit Interest Rate (% p.a.),Literacy Rate (%),Development Rate,HF,Area-wise Price,price
2000,Dindoli,2779,3,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,617145.54
2000,Athwa,1685,2,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1439038.05
2000,Sarthana,1091,4,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,633864.75
2000,Varachha,1363,1,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1227437.55
2000,Althan,1624,2,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1509655.51
2000,Pal,1529,3,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,967769.26
2000,Adajan,2595,2,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,4043042.67
2000,Sachin,2413,4,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,792150.05
2000,Adajan,1742,1,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1781100.52
2000,Udhna,2247,10,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1631867.66
2000,Varachha,2375,4,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,965902.98
2000,Athwa,2435,7,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,3497440.87
2000,Katargam,1313,3,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,731060.25
2000,City Light,2649,9,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,4010479.09
2000,Adajan,1483,7,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1227470.48
2000,Varachha,2118,6,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,984436.69
2000,Vesu,2351,5,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2861630.94
2000,Bhestan,1674,7,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,598037.46
2000,Piplod,1809,6,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,840814.91
2000,Vesu,1792,2,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1919471.51
2000,Sachin,2789,3,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,888655.98
2000,Sachin,2001,6,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,502332.93
2000,Vesu,2955,9,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2733581.78
2000,Katargam,1480,2,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,429935.76
2000,City Light,2704,8,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,3988779.01
2000,Bhestan,1045,5,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,252247.87
2000,Katargam,2535,1,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,675042.72
2000,Adajan,1273,1,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1921370.34
2000,Udhna,2035,5,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,738952.09
2000,Sarthana,1196,8,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1100209.49
2000,Udhna,2943,4,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,997421.92
2000,Piplod,1757,6,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1837452.48
2000,Sachin,1104,6,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,383745.05
2000,Althan,1092,5,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1110280.05
2000,Athwa,2899,1,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2363291.0
2000,Dindoli,1319,10,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,509420.01
2000,Ghod Dod Road,1001,10,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1554331.9
2000,Pal,1669,5,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1218901.41
2000,Sarthana,1366,9,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,628296.89
2000,Bhestan,2102,9,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,791532.1
2000,City Light,2606,7,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,3743051.71
2000,Varachha,1188,5,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,517665.9
2000,Dindoli,2748,1,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,291864.06
2000,Pal,2087,1,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1117727.97
2000,City Light,1986,9,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1464814.18
2000,City Light,2761,4,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2572333.89
2000,Varachha,1075,6,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,499655.07
2000,Pal,1176,1,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1202396.22
2000,Athwa,1736,3,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1549984.12
2000,Udhna,1474,2,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1141847.41
2000,Katargam,2126,7,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1389593.05
2000,Vesu,2584,10,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,3774285.5
2000,Sarthana,1360,8,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,921844.24
2000,Sachin,2327,6,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,584172.28
2000,Adajan,1102,9,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1555967.7
2000,Adajan,2288,3,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2562151.71
2000,Dindoli,2371,9,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,663897.09
2000,Adajan,2215,4,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1509811.58
2000,Varachha,1952,8,House,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1587741.14
2000,Katargam,1036,8,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,953024.27
2000,Sachin,2206,10,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,638995.76
2000,Vesu,1187,2,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1271435.65
2000,Pal,2668,2,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,4156777.59
2000,Varachha,1708,7,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1835825.7
2000,Piplod,2802,4,House,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1953535.14
2000,Vesu,1058,2,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,618141.5
2000,Varachha,1854,8,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,2046610.42
2000,Ghod Dod Road,1682,2,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2089419.58
2000,Piplod,1553,10,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1804568.21
2000,Katargam,2881,2,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,2231792.66
2000,Althan,1195,2,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1110861.05
2000,Varachha,2522,5,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,2564218.22
2000,Sarthana,1298,3,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,408487.39
2000,Ghod Dod Road,1637,4,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1525139.65
2000,Althan,1976,2,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,688826.81
2000,Vesu,1437,5,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1749112.57
2000,Vesu,1891,3,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,3038270.62
2000,Bhestan,2826,4,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,927731.47
2000,Vesu,2751,1,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2812748.29
2000,Sachin,1344,8,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,493121.66
2000,Dindoli,2396,3,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,763434.82
2000,City Light,1565,6,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,972039.73
2000,Pal,1856,5,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2259118.26
2000,Bhestan,2128,7,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,349294.51
2000,Bhestan,1111,4,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,364723.87
2000,Bhestan,2645,4,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,868312.01
2000,Dindoli,2280,8,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,616402.07
2000,City Light,2800,5,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1630418.08
2000,Udhna,1967,5,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1190433.05
2000,Pal,2523,5,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1842593.33
2000,Vesu,1403,1,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,751400.26
2000,Vesu,2943,9,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2722480.94
2000,City Light,1851,6,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2586774.74
2000,Sachin,2148,10,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,829593.77
2000,Sarthana,1560,3,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,490940.16
2000,Pal,1763,9,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,3347633.49
2000,Pal,1502,1,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1535713.54
2000,Althan,2388,9,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1318043.6
2000,Adajan,1029,7,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1352695.74
2000,Vesu,2192,9,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2027753.39
2000,Pal,1322,5,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,965480.93
2000,Sachin,2074,3,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,460582.89
2000,Adajan,1891,2,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1104825.68
2000,Udhna,2336,1,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1753053.38
2000,Piplod,1131,8,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1248498.59
2000,Piplod,2492,8,House,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,2026972.81
2000,Varachha,2996,4,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1218461.19
2000,Varachha,1732,2,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,603769.25
2000,Vesu,1121,1,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,600370.41
2000,Althan,1366,2,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,476182.9
2000,City Light,1741,5,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1013770.67
2000,Vesu,1119,9,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2124788.36
2000,Adajan,2608,1,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1396758.29
2000,Bhestan,1655,3,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,207736.38
2000,City Light,2388,5,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2317522.84
2000,Athwa,2986,10,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2318299.23
2000,Varachha,1489,4,House,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1038120.56
2000,Sarthana,2561,10,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,2479877.22
2000,Piplod,1093,3,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1047794.12
2000,Piplod,2733,8,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1429071.61
2000,Athwa,2765,2,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,3434747.41
2000,Dindoli,2064,2,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,438433.35
2000,Piplod,2476,10,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,2877083.63
2000,Varachha,1487,3,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,561560.01
2000,Dindoli,2056,2,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,635249.46
2000,City Light,2998,7,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,3142281.47
2000,Pal,2598,2,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2782805.24
2000,Vesu,2485,10,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2419788.31
2000,Varachha,1110,7,House,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,870619.92
2000,Sarthana,2263,4,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1862619.22
2000,Sachin,2866,6,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,442758.98
2000,Udhna,2333,2,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1807279.51
2000,Bhestan,2152,3,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,685689.37
2000,Ghod Dod Road,2496,3,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2228548.59
2000,City Light,1752,6,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1768304.86
2000,Katargam,2450,8,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1067576.97
2000,City Light,1254,4,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1655107.26
2000,Sarthana,1403,7,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,577387.27
2000,Adajan,2199,1,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1177711.46
2000,Vesu,1636,7,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1354107.69
2000,Varachha,1413,7,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1518748.08
2000,Althan,1384,3,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1326758.52
2000,City Light,1825,4,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,991837.66
2000,Pal,1702,8,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1491602.3
2000,Pal,1652,1,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1689080.4
2000,Pal,2295,4,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1564342.02
2000,Adajan,2450,6,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,4294272.2
2000,Udhna,1036,7,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,927944.68
2000,Athwa,1305,4,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1722420.24
2000,Althan,2052,1,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1847910.38
2000,Pal,2144,4,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,3549152.68
2000,Dindoli,2194,2,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,254207.92
