year,location,sqft,amenities,real_estate_type,HF,price
2000,1,1891,2,1,6.66,1104825.68
2000,4,2336,1,3,3.81,1753053.38
2000,3,1131,8,3,4.44,1248498.59
2000,3,2492,8,2,4.44,2026972.81
2000,3,2996,4,1,4.44,1218461.19
2000,3,1732,2,1,4.44,603769.25
2000,1,1121,1,1,6.66,600370.41
2000,3,1366,2,1,4.44,476182.9
2000,2,1741,5,1,5.33,1013770.67
2000,1,1119,9,3,6.66,2124788.36
2000,1,2608,1,1,6.66,1396758.29
2000,5,1655,3,1,3.33,207736.38
2000,2,2388,5,2,5.33,2317522.84
2000,2,2986,10,1,5.33,2318299.23
2000,3,1489,4,2,4.44,1038120.56
2000,4,2561,10,3,3.81,2479877.22
2000,3,1093,3,3,4.44,1047794.12
2000,3,2733,8,1,4.44,1429071.61
2000,2,2765,2,3,5.33,3434747.41
2000,5,2064,2,2,3.33,438433.35
2000,3,2476,10,3,4.44,2877083.63
2000,3,1487,3,1,4.44,561560.01
2000,5,2056,2,3,3.33,635249.46
2000,2,2998,7,2,5.33,3142281.47
2000,1,2598,2,2,6.66,2782805.24
2000,1,2485,10,1,6.66,2419788.31
2000,3,1110,7,2,4.44,870619.92
2000,4,2263,4,3,3.81,1862619.22
2000,5,2866,6,1,3.33,442758.98
2000,4,2333,2,3,3.81,1807279.51
2000,5,2152,3,3,3.33,685689.37
2000,2,2496,3,2,5.33,2228548.59
2000,2,1752,6,2,5.33,1768304.86
2000,4,2450,8,1,3.81,1067576.97
2000,2,1254,4,3,5.33,1655107.26
2000,4,1403,7,1,3.81,577387.27
2000,1,2199,1,1,6.66,1177711.46
2000,1,1636,7,1,6.66,1354107.69
2000,3,1413,7,3,4.44,1518748.08
2000,3,1384,3,3,4.44,1326758.52
2000,2,1825,4,1,5.33,991837.66
2000,1,1702,8,1,6.66,1491602.3
2000,1,1652,1,2,6.66,1689080.4
2000,1,2295,4,1,6.66,1564342.02
2000,1,2450,6,3,6.66,4294272.2
2000,4,1036,7,3,3.81,927944.68
2000,2,1305,4,3,5.33,1722420.24
2000,3,2052,1,3,4.44,1847910.38
2000,1,2144,4,3,6.66,3549152.68
2000,5,2194,2,1,3.33,254207.92
2000,4,1769,5,2,3.81,1070602.99
2000,5,1103,2,3,3.33,340797.74
2000,2,2342,2,1,5.33,1090982.61
2000,5,2797,2,1,3.33,324074.55
2000,2,1297,4,3,5.33,1711861.34
2000,2,1613,10,1,5.33,1252316.36
2000,5,1544,2,1,3.33,178895.64
2000,5,1249,10,1,3.33,241192.42
2000,2,1748,5,3,5.33,2374975.67
2000,4,2484,9,1,3.81,1142525.23
2000,3,2927,1,3,4.44,2635883.86
2000,1,2526,3,1,6.66,1598813.05
2000,5,1567,7,1,3.33,257210.76
2000,3,2659,4,3,4.44,2626268.41
2000,1,1314,9,2,6.66,1855300.87
2000,1,2714,3,2,6.66,3039195.69
2000,4,2519,3,2,3.81,1402544.38
2000,3,2971,6,1,4.44,1380907.18
2000,3,1939,10,3,4.44,2253095.78
2000,3,2153,4,2,4.44,1501056.8
2000,5,2259,1,3,3.33,676159.47
2000,4,1787,1,1,3.81,475858.52
2000,2,1310,1,1,5.33,559388.68
2000,5,1228,5,2,3.33,296421.42
2000,5,2240,10,3,3.33,865125.72
2000,1,2672,4,2,6.66,3122257.23
2000,2,2160,7,2,5.33,2263951.96
2000,1,2503,9,1,6.66,2315450.15
2000,4,2725,5,2,3.81,1649176.45
2000,2,2230,9,1,5.33,1644781.28
2000,5,2493,6,2,3.33,625845.08
2000,1,1066,8,2,6.66,1453236.24
2000,5,2054,5,3,3.33,694128.21
2000,1,2994,3,3,6.66,4810461.25
2000,1,2008,1,3,6.66,3030723.99
2000,1,2768,8,1,6.66,2425825.6
2000,5,1044,5,1,3.33,151203.89
2000,3,1618,4,1,4.44,658034.11
2000,4,1354,5,1,3.81,491666.4
2000,4,1383,3,2,3.81,770035.28
2000,3,2641,3,2,4.44,1764566.75
2000,1,1888,2,1,6.66,1103072.91
2000,1,1698,7,2,6.66,2232145.16
2000,3,1609,2,2,4.44,1028301.76
2000,2,2492,2,1,5.33,1160857.67
2000,4,2693,1,1,3.81,717116.39
2000,1,2890,4,3,6.66,4784072.41
2000,2,1882,1,2,5.33,1534223.41
2000,5,1592,3,2,3.33,353542.89
2000,1,1274,9,2,6.66,1798822.91
2000,5,2190,1,3,3.33,655506.53
2000,2,2261,9,3,5.33,3423062.75
2000,4,1193,9,3,3.81,1126330.02
2000,1,1010,8,3,6.66,1868641.35
2000,1,1842,9,2,6.66,2600809.89
2000,3,2632,9,1,4.44,1452718.08
2000,2,1781,7,2,5.33,1866712.24
2000,5,1383,6,2,3.33,347189.63
2000,2,1115,9,1,5.33,822390.64
2000,3,1066,7,2,4.44,836108.86
2000,1,2303,1,1,6.66,1233410.41
2000,5,1312,1,3,3.33,392705.28
2000,2,1389,2,3,5.33,1725448.16
2000,2,1506,4,3,5.33,1987712.55
2000,4,2256,6,3,3.81,1966084.61
2000,1,1399,4,1,6.66,953601.08
2000,2,1085,10,3,5.33,1684765.35
2000,1,1870,5,3,6.66,3186622.63
2000,2,1308,4,2,5.33,1218621.05
2000,3,1896,9,1,4.44,1046486.88
2000,1,2686,3,3,6.66,4315597.5
2000,4,2055,6,2,3.81,1293438.5
2000,2,2322,1,3,5.33,2794303.67
2000,5,2317,3,2,3.33,514547.04
2000,2,1563,2,3,5.33,1941595.01
2000,2,1263,1,2,5.33,1029609.02
2000,3,1394,9,1,4.44,769410.71
2000,1,2370,9,2,6.66,3346318.92
2000,5,1916,3,1,3.33,240497.23
2000,2,2639,7,3,5.33,3790450.29
2000,2,1323,3,1,5.33,667656.2
2000,1,1777,9,1,6.66,1643849.35
2000,5,2237,6,1,3.33,345586.83
2000,3,1343,5,1,4.44,585206.48
2000,2,2772,8,2,5.33,3013012.61
2000,4,2943,2,3,3.81,2279821.52
2000,2,1216,3,3,5.33,1557748.01
2000,5,1131,1,2,3.33,229325.9
2000,3,2932,2,1,4.44,1022085.12
2000,1,2756,8,1,6.66,2415309.02
2000,4,1033,8,2,3.81,700194.93
2000,3,2107,7,1,4.44,1040531.69
2000,4,2314,1,1,3.81,616192.84
2000,1,2142,7,2,6.66,2815815.63
2000,4,2919,7,1,3.81,1201278.28
2000,5,1995,5,1,3.33,288938.47
2000,2,1778,1,1,5.33,759231.35
2000,2,1791,7,1,5.33,1181936.65
2000,3,1078,3,2,4.44,720258.6
2000,1,1975,2,1,6.66,1153903.08
2000,4,2893,8,2,3.81,1960952.5
2000,5,1843,10,1,3.33,355898.82
2000,4,2980,3,2,3.81,1659222.81
2000,1,1784,3,2,6.66,1997761.64
2000,1,1914,10,1,6.66,1863772.56
2000,1,1795,10,1,6.66,1747895.38
2000,3,1657,3,2,4.44,1107113.63
2000,4,2081,8,3,3.81,1914327.71
2000,1,1220,3,3,6.66,1960174.59
2000,2,1195,2,3,5.33,1484456.84
2000,4,1997,1,3,3.81,1498650.52
2000,2,1815,6,3,5.33,2536464.69
2000,1,1351,6,1,6.66,1052437.51
2000,5,1082,10,2,3.33,313414.96
2000,3,2457,4,1,4.44,999252.05
2000,4,2829,5,3,3.81,2396964.49
2000,2,2410,2,3,5.33,2993758.14
2000,1,2764,6,3,6.66,4844640.15
2000,5,1681,4,1,3.33,227230.68
2000,4,2692,2,2,3.81,1433700.2
2000,1,1544,6,3,6.66,2706267.87
2000,2,2143,3,1,5.33,1081471.84
2000,1,2768,4,2,6.66,3234434.14
2000,4,2183,4,1,3.81,739847.79
2000,2,2103,6,3,5.33,2938945.04
2000,3,2934,7,2,4.44,2301260.21
2000,2,1372,5,1,5.33,798904.86
2000,4,1415,3,2,3.81,787852.44
2000,3,1226,4,3,4.44,1210908.26
2000,4,1885,7,1,3.81,775748.39
2000,1,1221,8,2,6.66,1664541.7
2000,3,2667,2,3,4.44,2479218.76
2000,1,2467,6,2,6.66,3122938.86
2000,5,1011,9,3,3.33,380703.59
2000,2,2797,3,1,5.33,1411515.04
2000,1,2615,3,2,6.66,2928333.35
2000,3,1077,7,3,4.44,1157602.04
2000,1,2611,2,3,6.66,4067970.87
2000,1,1618,2,2,6.66,1733094.26
2000,5,1812,4,3,3.33,594851.17
2000,4,1290,3,2,3.81,718254.17
2000,3,2720,7,2,4.44,2133410.96
2000,4,2206,4,2,3.81,1281673.36
2000,4,1926,1,1,3.81,512872.69
2000,3,1885,10,3,4.44,2190348.4
2000,2,2798,10,3,5.33,4344675.98
2000,2,1485,9,1,5.33,1095291.57
2000,1,2558,10,1,6.66,2490872.63
2000,3,1827,1,3,4.44,1645288.63
2000,1,2988,10,3,6.66,5819177.03
2000,2,2808,2,3,5.33,3488163.02
2000,4,2643,7,1,3.81,1087693.9
2000,1,1594,8,3,6.66,2949123.08
2000,1,1336,8,3,6.66,2471786.98
2000,1,1734,7,3,6.66,3123717.87
2000,2,1116,6,3,5.33,1559611.35
2000,3,2243,5,1,4.44,977377.61
2000,4,2438,6,3,3.81,2124696.05
2000,1,1164,9,2,6.66,1643508.53
2000,3,2345,8,3,4.44,2588619.98
2000,4,1424,9,1,3.81,654974.21
2000,1,1052,7,3,6.66,1895127.57
2000,4,2687,5,1,3.81,975707.25
2000,3,1150,6,1,4.44,534514.73
2000,3,2269,7,3,4.44,2438810.6
2000,4,2127,7,2,3.81,1390246.67
2000,3,2541,9,2,4.44,2140644.34
2000,4,1573,1,1,3.81,418872.66
2000,4,1064,2,2,3.81,566663.08
2000,1,1666,3,3,6.66,2676763.01
2000,3,2449,10,1,4.44,1422854.97
2000,5,1732,7,1,3.33,284294.21
2000,2,2714,1,3,5.33,3266037.96
2000,1,1499,7,2,6.66,1970545.11
2000,5,2108,1,3,3.33,630962.45
2000,5,2026,9,2,3.33,567294.6
2000,3,2779,10,2,4.44,2421874.62
2000,3,2623,7,2,4.44,2057329.76
2000,1,1991,3,2,6.66,2229564.71
2000,3,2348,6,3,4.44,2455514.19
2000,5,1575,10,1,3.33,304145.76
2000,5,1143,8,3,3.33,419373.55
2000,3,1823,1,1,4.44,582533.91
2000,1,2999,2,3,6.66,4672479.76
2000,4,1495,1,1,3.81,398102.12
2000,3,2769,6,2,4.44,2091405.08
2000,3,1772,5,1,4.44,772141.39
2000,5,2547,3,2,3.33,565624.21
2000,3,1204,7,3,4.44,1294106.64
2000,4,1777,9,3,3.81,1677693.58
2000,3,1870,8,1,4.44,977813.36
2000,5,2080,9,3,3.33,783247.75
2000,4,1782,10,2,3.81,1294164.74
2000,3,2744,1,1,4.44,876836.55
2000,3,1847,7,3,4.44,1985228.38
2000,5,1098,1,3,3.33,328651.22
2000,4,1482,3,2,3.81,825157.11
2000,3,1210,4,3,4.44,1195105.22
2000,5,2483,1,1,3.33,263718.51
2000,2,1281,1,2,5.33,1044282.78
2000,1,2882,7,2,6.66,3788599.74
2000,2,2788,1,1,5.33,1190515.75
2000,4,2305,5,3,3.81,1952988.04
2000,2,1542,1,3,5.33,1855648.69
2000,1,2350,9,2,6.66,3318079.94
2000,2,1258,4,3,5.33,1660386.71
2000,5,2854,6,2,3.33,716470.86
2000,4,1972,4,1,3.81,668337.08
2000,2,1709,1,1,5.33,729767.37
2000,5,2213,5,1,3.33,320511.7
2000,1,2257,8,3,6.66,4175765.87
2000,1,2548,2,2,6.66,2729248.56
2000,3,1940,1,2,4.44,1183485.33
2000,4,2569,7,1,3.81,1057240.12
2000,4,1157,5,1,3.81,420131.48
2000,5,1848,1,3,3.33,553139.76
2000,4,1893,10,1,3.81,916518.46
2000,1,1022,5,1,6.66,746385.41
2000,2,2317,9,3,5.33,3507844.49
2000,1,1174,4,3,6.66,1943425.96
2000,5,2221,9,2,3.33,621896.01
2000,1,2122,2,3,6.66,3306102.72
2000,2,1741,8,3,5.33,2568219.03
2000,1,1650,5,2,6.66,2008375.61
2000,5,2394,1,3,3.33,716567.41
2000,2,1301,4,3,5.33,1717140.79
2000,5,1413,2,3,3.33,436579.51
2000,4,1876,1,2,3.81,953702.1
2000,1,2244,5,3,6.66,3823947.15
2000,5,1034,10,3,3.33,399348.21
2000,2,1180,10,2,5.33,1374209.52
2000,2,1939,3,3,5.33,2483941.94
2000,1,1707,1,3,6.66,2576417.26
2000,1,2942,1,2,6.66,3008035.43
2000,5,1058,6,2,3.33,265601.32
2000,5,2517,3,1,3.33,315935.03
2000,4,2655,4,2,3.81,1542539.79
2000,1,2011,8,2,6.66,2741517.91
2000,4,2760,9,2,3.81,1937615.9
2000,1,1382,8,1,6.66,1211160.04
2000,4,2847,10,1,3.81,1378408.91
2000,1,1254,10,1,6.66,1221092.37
2000,2,1796,1,2,5.33,1464115.43
2000,5,2529,10,2,3.33,732556.79
2000,2,2321,5,1,5.33,1351500.13
2000,3,1855,4,1,4.44,754421.06
2000,5,2362,7,3,3.33,843825.86
2000,4,1276,2,3,3.81,988464.92
2000,5,2484,5,1,3.33,359760.98
2000,3,2681,4,2,4.44,1869174.77
2000,5,1377,2,2,3.33,292501.32
2000,3,2021,1,3,4.44,1819993.6
2000,1,2377,2,2,6.66,2546084.7
2000,5,2442,1,3,3.33,730934.68
2000,3,1376,6,2,4.44,1039282.55
2000,3,1138,8,2,4.44,925640.07
2000,4,2236,2,1,3.81,649551.6
2000,3,2210,2,3,4.44,2054395.74
2000,2,1061,10,1,5.33,823749.32
2000,1,1042,10,2,6.66,1521983.55
2000,3,1623,8,3,4.44,1791612.03
2000,1,1100,8,3,6.66,2035153.95
2000,2,1328,10,3,5.33,2062090.67
2000,2,1277,3,3,5.33,1635891.62
2000,3,2368,2,1,4.44,825476.66
2000,2,2021,8,2,5.33,2196716.62
2000,1,1063,6,1,6.66,828083.69
2000,1,2230,6,3,6.66,3908664.09
2000,5,2211,10,1,3.33,426962.71
2000,1,2276,9,1,6.66,2105459.27
2000,5,2962,5,2,3.33,714983.92
2000,2,1476,10,3,5.33,2291901.98
2000,5,1171,1,2,3.33,237436.46
2000,5,1752,8,2,3.33,473656.33
2000,1,2446,6,3,6.66,4287261.15
2000,3,1032,1,1,4.44,329772.35
2000,5,1185,4,3,3.33,389016.91
2000,5,1031,2,1,3.33,119456.87
2000,3,2782,3,2,4.44,1858774.97
2000,4,2092,2,2,3.81,1114153.35
2000,3,2885,5,1,4.44,1257126.35
2000,2,2386,4,3,5.33,3149191.33
2000,4,2847,5,1,3.81,1033806.68
2000,3,1592,5,2,4.44,1156178.6
2000,3,2781,10,2,4.44,2423617.6
2000,3,1458,4,2,4.44,1016507.58
2000,5,1464,7,2,3.33,381659.48
2000,4,1060,1,2,3.81,538872.19
2000,4,1896,7,2,3.81,1239260.78
2000,1,2744,3,2,6.66,3072790.33
2000,3,1286,3,1,4.44,485653.11
2000,2,2438,7,2,5.33,2555330.96
2000,4,1900,8,2,3.81,1287870.64
2000,2,2710,10,1,5.33,2104015.71
2000,1,2460,1,2,6.66,2515216.58
2000,5,1536,10,1,3.33,296614.53
2000,2,1435,9,3,5.33,2172532.09
2000,5,1486,8,2,3.33,401742.75
2000,4,2379,8,2,3.81,1612549.6
2000,4,1275,4,1,3.81,432114.49
2000,4,2527,1,1,3.81,672912.41
2000,5,2151,9,1,3.33,394607.4
2000,5,2691,4,2,3.33,623585.71
2000,5,1870,9,2,3.33,523613.48
2000,2,1592,10,3,5.33,2472024.36
2000,2,1308,3,3,5.33,1675603.95
2000,4,2195,3,3,3.81,1753513.34
2000,3,2405,1,1,4.44,768510.17
2000,5,2764,7,2,3.33,720564.75
2000,5,1908,2,3,3.33,589521.38
2000,5,1236,6,3,3.33,429627.61
2000,3,1608,1,3,4.44,1448070.12
2000,1,1700,2,1,6.66,993233.03
2000,1,1704,4,2,6.66,1991140.09
2000,4,2456,5,2,3.81,1486377.01
2000,3,1337,1,2,4.44,815628.81
2000,3,1967,5,3,4.44,1999927.53
2000,1,1740,8,3,6.66,3219243.52
2000,4,1315,8,3,3.81,1209678.49
2000,3,2053,3,2,4.44,1371698.43
2000,5,2266,4,2,3.33,525100.41
2000,4,1229,10,2,3.81,892552.45
2000,1,1121,6,3,6.66,1964848.63
2000,1,1208,5,2,6.66,1470374.38
2000,3,1785,9,3,4.44,2022295.81
2000,4,1816,6,2,3.81,1143009.4
2000,5,2479,6,3,3.33,861688.39
2000,5,1300,1,1,3.33,138072.52
2000,2,2753,5,2,5.33,2671750.57
2000,4,2012,9,2,3.81,1412493.91
2000,3,2961,7,2,4.44,2322437.45
2000,5,2537,8,1,3.33,440924.45
2000,2,1723,2,2,5.33,1471491.13
2000,5,1955,8,3,3.33,717301.22
2000,4,2320,3,1,3.81,730116.13
2000,4,2809,5,2,3.81,1700013.45
2000,4,1210,8,2,3.81,820170.25
2000,5,1273,7,3,3.33,454779.98
2000,5,1754,6,1,3.33,270969.73
2000,1,2040,3,3,6.66,3277668.99
2000,5,1897,2,2,3.33,402959.34
2000,2,2625,6,3,5.33,3668440.67
2000,2,1570,9,3,5.33,2376916.64
2000,4,1655,10,2,3.81,1201931.9
2000,4,2101,8,1,3.81,915501.72
2000,2,1903,7,1,5.33,1255848.93
2000,5,2004,1,2,3.33,406338.74
2000,2,1260,7,3,5.33,1809764.07
2000,4,2516,10,1,3.81,1218151.32
2000,1,1772,8,2,6.66,2415698.52
2000,3,1210,2,3,4.44,1124804.91
2000,2,1288,9,3,5.33,1949980.02
2000,2,1517,7,3,5.33,2178898.48
2000,2,1317,6,1,5.33,818004.04
2000,2,2901,7,2,5.33,3040613.25
2000,3,2008,5,1,4.44,874977.37
2000,4,1981,2,1,3.81,575474.83
2000,2,2220,6,1,5.33,1378867.86
2000,5,1814,1,3,3.33,542962.94
2000,4,2067,3,3,3.81,1651258.34
2000,5,1582,1,2,3.33,320772.39
2000,2,2534,10,1,5.33,1967371.15
2000,5,2915,5,1,3.33,422183.28
2000,1,2573,9,1,6.66,2380205.05
2000,1,2792,9,2,6.66,3942161.36
2000,2,2530,6,2,5.33,2553545.26
2000,1,1847,1,1,6.66,989191.93
2000,3,2180,6,3,4.44,2279821.52
2000,3,2610,5,1,4.44,1137296.29
2000,2,1022,9,1,5.33,753796.62
2000,2,1194,4,3,5.33,1575915.53
2000,4,2760,1,1,3.81,734957.75
2000,3,1729,2,2,4.44,1104993.0
2000,4,2175,10,3,3.81,2106104.23
2000,2,2617,4,2,5.33,2438173.78
2000,5,2271,2,1,3.33,263129.53
2000,3,2782,10,3,4.44,3232652.13
2000,2,2105,7,2,5.33,2206305.03
2000,5,1297,5,2,3.33,313077.02
2000,3,1815,10,2,4.44,1581756.9
2000,1,2723,4,3,6.66,4507622.55
2000,3,2524,10,2,4.44,2199644.31
2000,1,2896,2,2,6.66,3102003.07
2000,5,2223,6,3,3.33,772704.03
2000,3,2275,2,2,4.44,1453938.16
2000,2,1517,4,3,5.33,2002231.04
2000,1,1065,10,3,6.66,2074104.26
2000,3,2326,8,1,4.44,1216253.41
2000,1,2998,4,1,6.66,2043528.26
2000,3,2725,3,2,4.44,1820690.8
2000,3,1009,4,3,4.44,996579.47
2000,3,2363,2,2,4.44,1510178.41
2000,5,2324,4,1,3.33,314148.78
2000,4,1770,7,3,3.81,1585388.12
2000,2,2123,7,1,5.33,1401033.78
2000,4,1841,5,3,3.81,1559848.58
2000,4,1393,3,2,3.81,775603.14
2000,2,1117,5,1,5.33,650420.35
2000,5,2895,10,1,3.33,559048.87
2000,3,1450,2,2,4.44,926685.86
